name,popularity,followers,pagerank,closeness_cent,clustering,deg_cent,degree,num_collaborators,sum_collaborators_popularity,sum_collaborators_in_playlist,in_playlist
Queen,86,51656052,2.0376329132638088e-05,0.1837686054701846,0.0,5.52791597567717e-05,2,2,147,0,0
千葉雄喜,70,106762,3.4142799351041995e-05,0.257886647380225,0.1666666666666666,0.0001105583195135,4,5,247,2,1
Latto,80,1799074,9.378178205227736e-05,0.2165153644305833,0.0583333333333333,0.0004422332780541,16,13,929,1,0
Flo Milli,73,1257845,0.0001116689455594,0.214292692693834,0.0166666666666666,0.0004422332780541,16,13,735,1,0
Cardi B,81,24568653,8.844983907108425e-05,0.2166956948063516,0.0416666666666666,0.0004422332780541,16,12,854,1,0
Big Mouth Cast,31,9162,2.787181439173375e-05,0.1848471541150809,0.0,8.291873963515754e-05,3,4,209,1,0
Reneé Rapp,70,973817,2.4697383827607048e-05,0.2578422001304072,0.0,8.291873963515754e-05,3,4,219,1,0
Danielle Brooks,28,10400,6.641669891388743e-05,0.2582836472258453,0.0357142857142857,0.000221116639027,8,9,335,1,0
Timbaland,79,2987866,0.0001607173402307,0.2125823807892337,0.0116959064327485,0.0005251520176893,19,19,949,1,0
Spiritbox,66,727809,1.4962936707719464e-05,0.1876948663203856,0.0,5.52791597567717e-05,2,3,221,1,0
Dua Lipa,88,44884212,9.657343013999208e-05,0.2141406014752916,0.0128205128205128,0.000359314538419,13,9,596,0,0
David Guetta,90,26325999,0.0002381598012057,0.2289698063769248,0.0414634146341463,0.0011332227750138,41,10,728,0,0
Shenseea,69,867012,4.888415418343385e-05,0.1948928570087946,0.0714285714285714,0.000221116639027,8,7,538,1,0
Jimmy Fallon,40,67368,0.0001016837208583,0.2653011147756249,0.0833333333333333,0.0004422332780541,16,17,943,1,0
Ariana Grande,92,100385822,0.000138339748085,0.2212572877409287,0.0303030303030303,0.0006080707573244,22,22,1631,3,0
Maluma,86,34778471,0.0001091864628089,0.2215726985766779,0.1255411255411255,0.0006080707573244,22,9,719,0,0
Rock Mafia,53,58582,6.696210802530524e-05,0.1911655709388251,0.0444444444444444,0.0002763957987838,10,11,698,1,0
BTS,87,76395358,4.421695522325867e-05,0.1922948561888601,0.1904761904761904,0.0001934770591487,7,1,87,0,0
Marshmello,84,33847990,0.0001808957558947,0.2225422799846236,0.0132275132275132,0.0007739082365948,28,15,791,0,0
NITTI,48,90232,0.000139703169085,0.2144193870896339,0.0130718954248366,0.0004975124378109,18,17,664,0,0
